vendedor;linea;articulo;venta_bruta;dev_Buen_Estado;dev_Mal_Estado;dev_total;venta_neta;porc_dev;tot_dev_$
10 - Fabian Retamosa;440-OFERTAS;271215-OFERTA SUPER TRIPLE CHOCOLATE ALFAJOR;73;1;1.16;2.16;70.84;2.96;725.76
10 - Fabian Retamosa;468-Cañuela Galletas;22103-9 DE ORO AGRIDULCE 420GR (15);651;0;2;2;649;0.31;141.23
10 - Fabian Retamosa;468-Cañuela Galletas;22157-PASEO CRACKERS 300G;13;0;1;1;12;7.69;66
10 - Fabian Retamosa;468-Cañuela Galletas;22158-PASEO MULTICEREALES 300G;5;0;1;1;4;20;66
10 - Fabian Retamosa;468-Cañuela Galletas;29505-PASEO TOSTADA DE ARROZ CLASICA 120g (12);0;0;4;4;-4;100;300
10 - Fabian Retamosa;468-Cañuela Galletas;29504-PASEO TOSTADA DE ARROZ S/SAL 120g (12);0;0;3;3;-3;100;225
10 - Fabian Retamosa;468-Cañuela Galletas;22266-PASEO TOSTADAS CLASICAS 200g;0;0;4;4;-4;100;276
10 - Fabian Retamosa;468-Cañuela Galletas;22267-PASEO TOSTADAS SALVADO 200g;2;0;5;5;-3;250;345
10 - Fabian Retamosa;469-Cañuela Harinas;22117-0000 HARINA FARINEL X1KG (12);1104;0;3;3;1101;0.27;117
10 - Fabian Retamosa;471-Salsa Pontevedra;2267-CONCENTRADA 1030 GR PONTEVEDRA;7455;12;7;19;7436;0.25;1039.5
10 - Fabian Retamosa;471-Salsa Pontevedra;22006-EXTRACTO 60GR X30;2;0;1.07;1.07;0.93;53.5;533.1
10 - Fabian Retamosa;471-Salsa Pontevedra;22026-KETCHUP PACK 1KG PONTEVEDRA;6;1;0;1;5;16.67;135
10 - Fabian Retamosa;471-Salsa Pontevedra;22024-MOSTAZA PONT 200GR;110;0;1;1;109;0.91;40
10 - Fabian Retamosa;471-Salsa Pontevedra;22013-PRONTO PIZZA 340GR;27;0;3;3;24;11.11;122.58
10 - Fabian Retamosa;471-Salsa Pontevedra;2276-PURE DE TOMATE PONTEVEDRA 1030G;391;0;12;12;379;3.07;654.5
10 - Fabian Retamosa;471-Salsa Pontevedra;2294-TAMIZADA 510gr TETRA PONTEVEDRA;1231;1;0;1;1230;0.08;27
10 - Fabian Retamosa;471-Salsa Pontevedra;23117-TAMIZADA PONTEVEDRA 1020G;761;0;1;1;760;0.13;39.6
10 - Fabian Retamosa;472-Jugos Maxi;2285-MAXI DURAZNO 200ml;1411;54;4;58;1353;4.11;813.58
10 - Fabian Retamosa;472-Jugos Maxi;2271-MAXI DURAZNO X1L;3401;0;10;10;3391;0.29;477.7
10 - Fabian Retamosa;472-Jugos Maxi;2296-MAXI MANZANA 200ml;1000;30;0;30;970;3;479.99
10 - Fabian Retamosa;472-Jugos Maxi;2273-MAXI MULTIFRUTA 1L;3146;0;2;2;3144;0.06;100.7
10 - Fabian Retamosa;472-Jugos Maxi;2286-MAXI NARANJA 200ml;1032;0;3;3;1029;0.29;45.9
10 - Fabian Retamosa;472-Jugos Maxi;23119-MAXI NARANJA MANGO 1 LT;76;0;1;1;75;1.32;53
10 - Fabian Retamosa;472-Jugos Maxi;2269-MAXI NARANJA X1L;298;0;9;9;289;3.02;445.2
10 - Fabian Retamosa;472-Jugos Maxi;2300-MAXI TROPICAL 1LT;183;0;8;8;175;4.37;402.8
10 - Fabian Retamosa;480-Oderich;0728-CAMPOCLARO YERBA MONTES NATIVO 500G;8;2;0;2;6;25;232
10 - Fabian Retamosa;480-Oderich;22035-CREMA CHOCLO350GR ODERICH-P. GRANJA;30;4;0;4;26;13.33;156
10 - Fabian Retamosa;480-Oderich;22155-CHAMPIG. ENTEROS 184G P.G;25;0;1;1;24;4;66
10 - Fabian Retamosa;480-Oderich;22038-JARDINERA 4 LEGUMBRE 200GR ODERICH;74;4;0;4;70;5.41;156
10 - Fabian Retamosa;490-Villa Margarita;22225-BONDIOLA VILLA MARGARITA;19.92;4.68;0;4.68;15.24;23.49;3308.76
10 - Fabian Retamosa;490-Villa Margarita;22201-JAMON COCIDO GOLD V.MARGARITA;69.14;3.58;0;3.58;65.56;5.18;1636.06
10 - Fabian Retamosa;503-Pelusa;23013-CAT ADULTO 7kg PELUSA;24;1;0;1;23;4.17;610
10 - Fabian Retamosa;504-Boby;23029-OFERTA REX 7kg;173;4;0;4;169;2.31;1288
10 - Fabian Retamosa;504-Boby;28001-RACION MACANUDO 7kg;85;10;0;10;75;11.76;2600
