vendedor;linea;articulo;venta_bruta;dev_Buen_Estado;dev_Mal_Estado;dev_total;venta_neta;porc_dev;tot_dev_$
1 - Jorge;100-Centenario;8670-SALAMIN CENT. CORTO VACIO (x KG);24.9;0;1.6;1.6;23.3;6.43;1098.72
1 - Jorge;100-Centenario;8620-SALAMIN CENTENARIO AHUMADO AL VACIO (KG);11.8;0.17;0;0.17;11.63;1.44;21.14
1 - Jorge;100-Centenario;8606-SALCHICHA PARRILLERA MINI PACK (KG);3.6;1.8;0;1.8;1.8;50;913.68
1 - Jorge;111-Maosol;2308-BURGERBIF X 2 CAJA X 42;181;5;0;5;176;2.76;250
1 - Jorge;111-Maosol;2324-CARNE PICADA VACUNA Santa Clara 500grs;66;2;0;2;64;3.03;420
1 - Jorge;111-Maosol;8801-ESPINACA 2.5 KG FLANDERS;87;4;0;4;83;4.6;1240
1 - Jorge;112-FRANUI;8887-FRANUI CHOCOLATE CON LECHE;4;2;0;2;2;50;460
1 - Jorge;113-hamburguesa-uruguay;2309-HAMB TACUAREMBO 2x80G (42);208;42;0;42;166;20.19;1596.01
1 - Jorge;150- D. Joaquin;10513-CASERITO AHUMADO DON JOAQUIN;15.37;0;0.6;0.6;14.77;3.9;318
1 - Jorge;150- D. Joaquin;10502-CASERITO D. JOAQUIN;251.64;23.5;2.38;25.88;225.76;10.28;13638.75
1 - Jorge;170-Quesos;11504-BARRA LOVER 4 KG;264;0;3.96;3.96;260.04;1.5;1445.4
1 - Jorge;171-QUESOS CAMPESTRE;2601-OFERTA QUESO RALLADO GRUESO 1K;18;1;0;1;17;5.56;218
1 - Jorge;180-Rostan;12000-COLONIA ROSTAN;641.57;6.9;0;6.9;634.67;1.08;3048.08
1 - Jorge;180-Rostan;12034-MASDAM ROSTAN;6.9;0;2.4;2.4;4.5;34.78;1436.4
1 - Jorge;190-La Dolfina;25037-DOLFINA HAMB MEGA X2(C30);1639;120;0;120;1519;7.32;5439.16
1 - Jorge;190-La Dolfina;24059-F.CERDO ET NEGRA LA DOLFINA;294.25;1;0;1;293.25;0.34;155
1 - Jorge;190-La Dolfina;25030-HAMB. CHEDDAR X42 CAMPOSUR;720;1;0;1;719;0.14;60
1 - Jorge;190-La Dolfina;24015-HAMB. DOLFINA X36 X2;6735;107;0;107;6628;1.59;2945.62
1 - Jorge;190-La Dolfina;12526-HAMB. DOLFINA X48 X3;5054;164;0;164;4890;3.24;4847.97
1 - Jorge;190-La Dolfina;24016-HAMB. PARRILLERA x2 CAMPOSUR (42);4187;342;1;343;3844;8.19;18067.86
1 - Jorge;190-La Dolfina;24027-HAMB.PREM X42 DOLFINA;0;0;1;1;-1;100;49
1 - Jorge;200-Quesos Pacama;13003-PACAMA RALLADO FINO X 100 GR;65;0;1;1;64;1.54;60
1 - Jorge;200-Quesos Pacama;13004-PACAMA RALLADO GRUESO X 100 GR;82;0;4;4;78;4.88;240
1 - Jorge;200-Quesos Pacama;13000-PACAMA X 1 KG FINO;3;1;0;1;2;33.33;473
1 - Jorge;200-Quesos Pacama;13001-PACAMA X 1 KG GRUESO;12;0;2;2;10;16.67;946
1 - Jorge;291-Yerba Arminio;16112-ARMIÑO CLASICA 250 gr;4;2;0;2;2;50;104
1 - Jorge;291-Yerba Arminio;16075-ARMIÑO COMPUESTA 1KG;207;30;0;30;177;14.49;5490.01
1 - Jorge;291-Yerba Arminio;24413-ARMIÑO COMPUESTA 250 GR;4;2;0;2;2;50;100
1 - Jorge;291-Yerba Arminio;16078-ARMIÑO COMPUESTA 500 GR;282;0;3;3;279;1.06;291
1 - Jorge;291-Yerba Arminio;16076-ARMIÑO SUAVE 1 KG;183;12;0;12;171;6.56;1992
1 - Jorge;291-Yerba Arminio;16111-ARMIÑO SUAVE 250GR;7;2;0;2;5;28.57;94
1 - Jorge;291-Yerba Arminio;16080-ARMIÑO SUAVE 500 GR;235;5;0;5;230;2.13;445
1 - Jorge;330-Raciones Intor;18505-INTOR 20 KG;15;2;0;2;13;13.33;3344
