vendedor;linea;articulo;venta_bruta;dev_Buen_Estado;dev_Mal_Estado;dev_total;venta_neta;porc_dev;tot_dev_$
1 - Jorge;70-Artico;8835-MEDALLON POLLO 2K ARTICO (3);254;1;0;1;253;0.39;594
1 - Jorge;70-Artico;8863-MILANESA MERLUZA CROCANTE FINAS HIERBAS 1kg ARTICO (6);51;12;0;12;39;23.53;5129.99
1 - Jorge;70-Artico;8864-MIX DE MARISCOS 1KG ARTICO(10);58;0;3;3;55;5.17;905.65
1 - Jorge;70-Artico;1054-MIX VEGETALES (RUSA) ARTICO 1k (10);178;0;1;1;177;0.56;136.8
1 - Jorge;70-Artico;8825-MORRON ROJO 1K ARTICO (10);1810;7;0;7;1803;0.39;1155
1 - Jorge;70-Artico;13507-PANGA X 1 K ARTICO(10);131;5;0;5;126;3.82;1275
1 - Jorge;70-Artico;13544-RABAS REBOZADAS 500G ARTICO(12);61;1;0;1;60;1.64;188
1 - Jorge;83-CAMBAY PREPARACION;4527-CAMBAY AZUCAR IMPALPABLE 25kg;1;1;0;1;0;100;2008
1 - Jorge;83-CAMBAY PREPARACION;4511-CAMBAY CREMA PASTELERA 400g (14);77;5;0;5;72;6.49;475
1 - Jorge;83-CAMBAY PREPARACION;4513-CAMBAY LIPPI VARIEGATO FRUTOS DEL BOSQUE 1.2kg (6);10;2;0;2;8;20;1064
1 - Jorge;83-CAMBAY PREPARACION;4510-CAMBAY LIPPICOL CARAMELO LIQUIDO X1.2kg (12);3;1;0;1;2;33.33;208
1 - Jorge;83-CAMBAY PREPARACION;3547-POLVO HORNEAR CAMBAY X 1K;6;3;0;3;3;50;519
1 - Jorge;90-Doña Coca;7500-SALAME MILAN DOÑA COCA;233.63;16.15;0;16.15;217.48;6.91;7085.78
1 - Jorge;99-FETEADOS CENTENARIO;8701-BONDEOLA CENTENARIO EN FETAS 200G;89;1;0;1;88;1.12;242
1 - Jorge;99-FETEADOS CENTENARIO;11020-JAMON COCIDO ET DORADA EN FETAS (200G);49;0;1;1;48;2.04;95.4
1 - Jorge;99-FETEADOS CENTENARIO;8697-JAMON ET.NEGRA EN FETAS 200G;70;0;9;9;61;12.86;1298.59
1 - Jorge;99-FETEADOS CENTENARIO;8700-LOMITO CANADIENSE EN FETAS 200G;52;3;10;13;39;25;2275
1 - Jorge;99-FETEADOS CENTENARIO;8695-PANCETA CENTENARIO EN FETAS 200G;66;0;2;2;64;3.03;315
1 - Jorge;100-Centenario;9665-BARRA SANDWICH 4k CENTENARIO;4;0;2.95;2.95;1.05;73.75;939.87
1 - Jorge;100-Centenario;9668-CHACARERO CENTENARIO VACIO;0;0;0.3;0.3;-0.3;100;189.79
1 - Jorge;100-Centenario;9661-CHORIZO ESPAÑOL X3 CENTENARIO;28.7;2;0.49;2.49;26.21;8.68;1361.61
1 - Jorge;100-Centenario;8702-CHORIZO EXTRA AHUMADO CENT. X3UNI (KG);23.8;3;0;3;20.8;12.61;1491
1 - Jorge;100-Centenario;8659-CHORIZO EXTRA X 2 XL PACK (kg);52.75;0;6.16;6.16;46.59;11.68;2728.16
1 - Jorge;100-Centenario;8703-CHORIZO PURO CERDO CENTENARIO X3UNI (KG);45.55;3;0.78;3.78;41.77;8.3;1560.3
1 - Jorge;100-Centenario;9660-DAMBO CENTENARIO;46.49;3.75;0;3.75;42.74;8.07;1495.13
1 - Jorge;100-Centenario;00006-DE LA PLANTA UNTABLE VEGANO S/QUESO 230g (6);12;0;4;4;8;33.33;520
1 - Jorge;100-Centenario;9666-HAMBURGUESAS EXTRA CENTENARIO X42;422;5;0;5;417;1.18;335
1 - Jorge;100-Centenario;8666-HUNGARAS MINIPACK CENTENARIO (KG);3.8;0;2;2;1.8;52.63;1127.52
1 - Jorge;100-Centenario;8009-JAMON ARIZONA RECTANGULAR;17.7;11.8;0;11.8;5.9;66.67;3587.2
1 - Jorge;100-Centenario;8033-JAMON COCIDO ET. NEGRA CENTENARIO;46.65;0;3;3;43.65;6.43;1274.85
1 - Jorge;100-Centenario;9674-JUGO DE NARANJA 1LT NATUREL 100% JUGO PREMIUM;0;0;1;1;-1;100;119
1 - Jorge;100-Centenario;9675-JUGO DE NARANJA 3LT NATUREL 100% JUGO PREMIUM;0;0;1;1;-1;100;312
1 - Jorge;100-Centenario;9672-JUGO DE NARANJA FRUTELLO 1LT;0;0;5;5;-5;100;410
1 - Jorge;100-Centenario;9532-LONGANIZA AHUMADA CENTENARIO (KG);10.35;0;0.8;0.8;9.55;7.73;626.4
1 - Jorge;100-Centenario;8669-LONGANIZA CENTENARIO VACIO (x KG);0.45;0;0.4;0.4;0.05;88.89;253.06
