vendedor,linea,articulo,venta_bruta,dev_Buen_Estado,dev_Mal_Estado,dev_total,venta_neta,porc_dev,tot_dev_$
50 - Depósito,1015-LEOPOLDO GROSS,25135-CAVENDISH CARAMELOS MIX FRUIT LIGHT 175GR,3.0,1.0,0.0,1.0,2.0,33.33,178.2
50 - Depósito,1023-Sucre Group S.R.L,21536-OFERTA ROLLO COCINA SORELLA x 2 (f 12),50.0,10.0,0.0,10.0,40.0,20.0,400.0
50 - Depósito,1023-Sucre Group S.R.L,2408-PAPEL JUMU 30MTS x16 (4) violeta,17.0,1.0,0.0,1.0,16.0,5.88,106.2
50 - Depósito,1081-MILI PAPEL H Y COCINA,26007-MILI DUAL 30MTS x12 (F.8),26.0,1.0,0.0,1.0,25.0,3.85,230.0
50 - Depósito,1081-MILI PAPEL H Y COCINA,26003-MILI PH 100MTS x12 ROLLOS(F.6),20.0,2.0,0.0,2.0,18.0,10.0,790.0
50 - Depósito,1100-Punta Ballena Galletitas,27143-JUGO ADES ANANA 1LT,9.0,2.0,0.0,2.0,7.0,22.22,142.2
50 - Depósito,1100-Punta Ballena Galletitas,27141-JUGO ADES NARANJA 1LT,11.0,2.0,0.0,2.0,9.0,18.18,142.2
50 - Depósito,1100-Punta Ballena Galletitas,65109-MARIA BONITA AGUA MIA 200g Cx20,122.0,20.0,0.0,20.0,102.0,16.39,898.3
50 - Depósito,1100-Punta Ballena Galletitas,27048-MARIA BONITA PAPA TUBO BARBACOA 140g,9.0,1.0,0.0,1.0,8.0,11.11,120.0
50 - Depósito,1100-Punta Ballena Galletitas,27065-MARIA BONITA PAPA TUBO CEBOLLA 140g,17.0,3.0,0.0,3.0,14.0,17.65,278.78
50 - Depósito,1100-Punta Ballena Galletitas,27028-MARIA BONITA PAPA TUBO CLASICA 140g,74.0,3.0,0.0,3.0,71.0,4.05,278.78
50 - Depósito,1100-Punta Ballena Galletitas,27145-MARIA BONITA PAPA TUBO CHEDDAR 140g,22.0,3.0,0.0,3.0,19.0,13.64,278.78
50 - Depósito,1100-Punta Ballena Galletitas,27044-MAYONESA URUGUAY 1kg,59.0,3.0,0.0,3.0,56.0,5.08,197.0
50 - Depósito,1100-Punta Ballena Galletitas,27049-PUNTA BA. BAÑADAS S/AZUCAR 100G,5.0,4.0,0.0,4.0,1.0,80.0,344.0
50 - Depósito,1100-Punta Ballena Galletitas,27017-PUNTA BA. DULCE DE LECHE 900grs,15.0,1.0,0.0,1.0,14.0,6.67,152.0
50 - Depósito,1102-Punta Ballena Alfajores,23700-PLAY LOVE ALFAJOR 12,14.0,3.0,0.0,3.0,11.0,21.43,578.48
50 - Depósito,1102-Punta Ballena Alfajores,27003-PUNTA BA. ALFAJOR PLAY CHOCO X12,17.0,4.0,0.0,4.0,13.0,23.53,731.04
50 - Depósito,1150-SNACKS,565-BATATA PURA PAPA ORIGINAL 240g (6),28.0,3.0,0.0,3.0,25.0,10.71,372.0
50 - Depósito,2000-GASTOS,50009-Por diferencia de precio,0.0,1.0,0.0,1.0,-1.0,100.0,5406.0
50 - Depósito,2023-Hielo Polar,30520-HIELO EN BOLSA,294.0,15.0,0.0,15.0,279.0,5.1,929.99
50 - Depósito,2100-AZUCARLITO,2550-AZUCAR HEROICA 900G,65.0,2.0,0.0,2.0,63.0,3.08,87.8
6 - David Sosa,1-Impulsiva,23.1-ALFAJOR HELADO D.L 18 UNID,1116.0,18.0,0.0,18.0,1098.0,1.61,1349.99
6 - David Sosa,1-Impulsiva,69.3-BIG CUP DDL 12 UNID,1305.0,21.0,0.0,21.0,1284.0,1.61,1680.01
6 - David Sosa,1-Impulsiva,69.2-BIG CUP FRUTILLA 12 UNID,802.0,36.0,0.0,36.0,766.0,4.49,2699.77
6 - David Sosa,1-Impulsiva,4-BOMBON CREMA 30 UNID,1006.0,16.0,0.0,16.0,990.0,1.59,640.0
6 - David Sosa,1-Impulsiva,4.2-BOMBON DDL 30 UNID,3138.0,79.0,0.0,79.0,3059.0,2.52,3160.01
6 - David Sosa,1-Impulsiva,5-CASATA TRIPLE 24 UNID,1679.0,23.0,1.0,24.0,1655.0,1.43,1920.01
6 - David Sosa,1-Impulsiva,21801035-CONO HELADO DDL (30xCaja),1590.0,30.0,0.0,30.0,1560.0,1.89,1619.99
6 - David Sosa,1-Impulsiva,21801087-CONO HELADO VAINILLA (30xCaja),630.0,30.0,0.0,30.0,600.0,4.76,1619.99
6 - David Sosa,1-Impulsiva,64.2-CRUFIMAX  ALMENDRA 20 UNIDADES,700.0,40.0,0.0,40.0,660.0,5.71,2993.0
6 - David Sosa,1-Impulsiva,20901136-CRUFIMAX CEREALES 20 UNIDADES,580.0,20.0,0.0,20.0,560.0,3.45,1460.0
6 - David Sosa,1-Impulsiva,64-CRUFIMAX CREMA 20 UNIDADES,360.0,20.0,0.0,20.0,340.0,5.56,1460.0
6 - David Sosa,1-Impulsiva,64.5-CRUFIMAX MENTA 20 UNIDADES,790.0,50.0,0.0,50.0,740.0,6.33,3650.0
6 - David Sosa,1-Impulsiva,65-CRUFITO 20 UNID,560.0,40.0,0.0,40.0,520.0,7.14,910.4
6 - David Sosa,1-Impulsiva,22001126-PACK CRUFIMAX DIET X 4 UNIDADES,54.0,2.0,0.0,2.0,52.0,3.7,558.14
6 - David Sosa,1-Impulsiva,22001127-PACK CRUFIPOP X 10 UNID,31.0,2.0,0.0,2.0,29.0,6.45,383.04
